,index,state,county,latitude,longitude
713,713,IL,Macoupin,39.251432,-89.9171838571
714,714,IL,Madison,38.829648,-89.9598106071
715,715,IL,Marion,38.6510110909,-88.9393411818
716,716,IL,Marshall,41.0174277778,-89.3053842222
717,717,IL,Mason,40.2721137778,-89.8785786667
718,718,IL,Massac,37.217041,-88.7212696667
719,719,IL,Mcdonough,40.4903704545,-90.6485273636
720,720,IL,Mchenry,42.3078489,-88.3920164
721,721,IL,Mclean,40.5001693226,-88.8693219032
722,722,IL,Menard,40.0157905,-89.822224
723,723,IL,Mercer,41.2011089167,-90.66478075
724,724,IL,Monroe,38.2800472857,-90.1512381429
725,725,IL,Montgomery,39.2045078125,-89.4890260625
726,726,IL,Morgan,39.7218942727,-90.2389294545
727,727,IL,Moultrie,39.6385758,-88.6816508
728,728,IL,Ogle,42.052116375,-89.2398675
729,729,IL,Peoria,40.7442787292,-89.6706954375
730,730,IL,Perry,38.0584998,-89.3850248
731,731,IL,Piatt,39.9847432,-88.6220436
732,732,IL,Pike,39.6242434667,-90.8336019333
733,733,IL,Pope,37.3402415,-88.54321375
734,734,IL,Pulaski,37.2290627778,-89.1038831111
735,735,IL,Putnam,41.227059,-89.2826135714
736,736,IL,Randolph,38.0673917333,-89.8043087333
737,737,IL,Richland,38.7043136667,-88.0712395
738,738,IL,Rock Island,41.4998408095,-90.5565974762
739,739,IL,Saint Clair,38.5128486129,-89.9844168065
740,740,IL,Saline,37.757371,-88.5609617143
741,741,IL,Sangamon,39.7600943793,-89.6131467586
742,742,IL,Schuyler,40.1409801667,-90.57041
743,743,IL,Scott,39.6121825,-90.42888925
744,744,IL,Shelby,39.3858523846,-88.7927582308
745,745,IL,Stark,41.0810022857,-89.7701174286
746,746,IL,Stephenson,42.3700798,-89.6677502
747,747,IL,Tazewell,40.5227478235,-89.5165161176
748,748,IL,Union,37.4632761429,-89.2730302857
749,749,IL,Vermilion,40.156735625,-87.7501809583
750,750,IL,Wabash,38.4217618,-87.825522
751,751,IL,Warren,40.86812175,-90.628344625
752,752,IL,Washington,38.3401706,-89.3364935
753,753,IL,Wayne,38.4116296364,-88.4296206364
754,754,IL,White,38.1089894545,-88.1709817273
755,755,IL,Whiteside,41.7221016667,-89.91568175
756,756,IL,Will,41.4885799167,-87.9884589583
757,757,IL,Williamson,37.7725338182,-88.9848115455
758,758,IL,Winnebago,42.3152933214,-89.1214274643
759,759,IL,Woodford,40.7608404,-89.2257279
