,State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
2641,TX,Madison County,0.576,3349.0,881.0,53.0,4283.0,78.2,20.6,1.3
2642,TX,Marion County,0.431,2968.0,1156.0,82.0,4206.0,70.6,27.5,1.9
2643,TX,Martin County,0.676,1453.0,266.0,36.0,1755.0,82.8,15.2,2.1
2644,TX,Mason County,0.635,1656.0,353.0,44.0,2053.0,80.7,17.2,2.1
2645,TX,Matagorda County,0.407,8147.0,3357.0,275.0,11779.0,69.2,28.5,2.3
2646,TX,Maverick County,-0.558,2816.0,10397.0,375.0,13588.0,20.7,76.5,2.8
2647,TX,Mcculloch County,0.669,2546.0,480.0,60.0,3086.0,82.5,15.6,2.0
2648,TX,Mclennan County,0.271,48245.0,27046.0,2964.0,78255.0,61.7,34.6,3.8
2649,TX,Mcmullen County,0.833,454.0,40.0,3.0,497.0,91.3,8.0,0.6
2650,TX,Medina County,0.432,12054.0,4624.0,509.0,17187.0,70.1,26.9,2.9
2651,TX,Menard County,0.614,681.0,153.0,26.0,860.0,79.2,17.8,3.0
2652,TX,Midland County,0.552,36896.0,9993.0,1864.0,48753.0,75.7,20.5,3.8
2653,TX,Milam County,0.5,6340.0,2042.0,225.0,8607.0,73.7,23.7,2.6
2654,TX,Mills County,0.763,1949.0,242.0,47.0,2238.0,87.1,10.8,2.1
2655,TX,Mitchell County,0.652,1780.0,353.0,57.0,2190.0,81.3,16.1,2.6
2656,TX,Montague County,0.772,7526.0,885.0,193.0,8604.0,87.5,10.3,2.3
2657,TX,Montgomery County,0.515,150188.0,45744.0,7151.0,203083.0,74.0,22.5,3.5
2658,TX,Moore County,0.547,3974.0,1096.0,192.0,5262.0,75.5,20.8,3.7
2659,TX,Morris County,0.407,3443.0,1425.0,96.0,4964.0,69.4,28.7,2.0
2660,TX,Motley County,0.856,571.0,40.0,9.0,620.0,92.1,6.5,1.5
2661,TX,Nacogdoches County,0.354,14751.0,6822.0,857.0,22430.0,65.8,30.4,3.8
2662,TX,Navarro County,0.488,11984.0,3998.0,400.0,16382.0,73.2,24.4,2.4
2663,TX,Newton County,0.494,2961.0,978.0,71.0,4010.0,73.8,24.4,1.8
2664,TX,Nolan County,0.532,3551.0,1029.0,164.0,4744.0,74.9,21.7,3.5
2665,TX,Nueces County,0.016,50704.0,49102.0,4152.0,103958.0,48.8,47.2,4.0
2666,TX,Ochiltree County,0.79,2628.0,274.0,79.0,2981.0,88.2,9.2,2.7
2667,TX,Oldham County,0.816,850.0,78.0,17.0,945.0,89.9,8.3,1.8
2668,TX,Orange County,0.619,25385.0,5716.0,660.0,31761.0,79.9,18.0,2.1
2669,TX,Palo Pinto County,0.641,8222.0,1700.0,253.0,10175.0,80.8,16.7,2.5
2670,TX,Panola County,0.635,8445.0,1835.0,133.0,10413.0,81.1,17.6,1.2
2671,TX,Parker County,0.675,46433.0,8329.0,1651.0,56413.0,82.3,14.8,2.9
2672,TX,Parmer County,0.377,1911.0,848.0,59.0,2818.0,67.8,30.1,2.1
2673,TX,Pecos County,0.219,2463.0,1551.0,153.0,4167.0,59.1,37.2,3.6
2674,TX,Polk County,0.565,26587.0,7123.0,734.0,34444.0,77.2,20.7,2.1
2675,TX,Potter County,0.419,19499.0,7620.0,1211.0,28330.0,68.8,26.9,4.3
2676,TX,Presidio County,-0.366,652.0,1458.0,93.0,2203.0,29.6,66.2,4.2
2677,TX,Rains County,0.712,3919.0,619.0,92.0,4630.0,84.6,13.4,2.0
2678,TX,Randall County,0.651,43379.0,8340.0,2094.0,53813.0,80.6,15.5,3.9
2679,TX,Reagan County,0.602,709.0,167.0,24.0,900.0,78.8,18.6,2.6
2680,TX,Real County,0.668,1382.0,262.0,34.0,1678.0,82.4,15.6,2.1
2681,TX,Red River County,0.539,3924.0,1148.0,75.0,5147.0,76.2,22.3,1.5
