state,county,latitude,longitude
AR,Saline,34.5887268,-92.6176214
AR,Scott,34.9513796667,-94.1374576667
AR,Searcy,35.89225225,-92.643414
AR,Sebastian,35.160424625,-94.295917875
AR,Sevier,33.9851618,-94.2420232
AR,Sharp,36.139660125,-91.516424875
AR,Stone,35.8698925,-92.0830505
AR,Union,33.221576375,-92.58869225
AR,Van Buren,35.5540928,-92.3963824
AR,Washington,35.9887060625,-94.25659975
AR,White,35.2482437647,-91.7425195294
AR,Woodruff,35.1819816,-91.2682666
AR,Yell,35.077577,-93.291211
AZ,Apache,35.071127,-109.407092077
AZ,Cochise,31.73853145,-109.95516555
AZ,Coconino,35.925651,-111.682680615
AZ,Gila,33.5897562,-110.9124606
AZ,Graham,32.91265075,-109.7953495
AZ,Greenlee,33.007195,-109.26742175
