State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
alabama,Wilcox County,-0.425,1737.0,4329.0,29.0,6095.0,28.5,71.0,0.5
alabama,Winston County,0.815,9225.0,871.0,159.0,10255.0,90.0,8.5,1.6
alaska,Alaska,0.15199999999999997,130415.0,93007.0,23166.0,246588.0,52.9,37.7,9.4
arizona,Apache County,-0.36900000000000005,5315.0,12196.0,1148.0,18659.0,28.5,65.4,6.1
arizona,Cochise County,0.226,25036.0,15291.0,2820.0,43147.0,58.0,35.4,6.5
arizona,Coconino County,-0.19399999999999998,16573.0,25308.0,3048.0,44929.0,36.9,56.3,6.8
arizona,Gila County,0.324,13672.0,6746.0,980.0,21398.0,63.9,31.5,4.6
arizona,Graham County,0.396,8025.0,3301.0,613.0,11939.0,67.2,27.6,5.2
arizona,Greenlee County,0.24599999999999994,1892.0,1092.0,259.0,3243.0,58.3,33.7,8.0
arizona,La Paz County,0.41899999999999993,3381.0,1318.0,232.0,4931.0,68.6,26.7,4.7
arizona,Maricopa County,0.03399999999999999,590465.0,549040.0,62429.0,1201934.0,49.1,45.7,5.2
arizona,Mohave County,0.515,54656.0,16485.0,3048.0,74189.0,73.7,22.2,4.1
arizona,Navajo County,0.07899999999999999,18165.0,15362.0,1882.0,35409.0,51.3,43.4,5.3
arizona,Pima County,-0.13400000000000006,147019.0,195649.0,18094.0,360762.0,40.8,54.2,5.0
arizona,Pinal County,0.19299999999999998,49869.0,33142.0,3874.0,86885.0,57.4,38.1,4.4
arizona,Santa Cruz County,-0.4709999999999999,3650.0,10684.0,592.0,14926.0,24.5,71.6,3.9
arizona,Yavapai County,0.314,58862.0,29705.0,4213.0,92780.0,63.4,32.0,4.5
arizona,Yuma County,0.055,20586.0,18336.0,1837.0,40759.0,50.5,45.0,4.5
arkansas,Arkansas County,0.30400000000000005,3825.0,1939.0,447.0,6211.0,61.6,31.2,7.0
arkansas,Ashley County,0.36200000000000004,5338.0,2408.0,337.0,8083.0,66.0,29.8,4.1
arkansas,Baxter County,0.5319999999999999,14655.0,4163.0,912.0,19730.0,74.3,21.1,4.6
arkansas,Benton County,0.34,60751.0,27894.0,7911.0,96556.0,62.9,28.9,8.3
arkansas,Boone County,0.5770000000000001,12225.0,2925.0,948.0,16098.0,75.9,18.2,5.9
arkansas,Bradley County,0.231,2163.0,1317.0,172.0,3652.0,59.2,36.1,4.7
arkansas,Calhoun County,0.4049999999999999,1554.0,636.0,74.0,2264.0,68.6,28.1,3.1
arkansas,Carroll County,0.32,6773.0,3334.0,629.0,10736.0,63.1,31.1,5.9
arkansas,Chicot County,-0.15199999999999997,1716.0,2350.0,110.0,4176.0,41.1,56.3,2.6
arkansas,Clark County,0.09300000000000004,4398.0,3606.0,501.0,8505.0,51.7,42.4,5.8
arkansas,Clay County,0.29700000000000004,3779.0,1999.0,220.0,5998.0,63.0,33.3,3.7
arkansas,Cleburne County,0.609,9454.0,2101.0,526.0,12081.0,78.3,17.4,4.3
arkansas,Cleveland County,0.518,2460.0,723.0,169.0,3352.0,73.4,21.6,5.1
arkansas,Columbia County,0.261,5456.0,3140.0,291.0,8887.0,61.4,35.3,3.3
arkansas,Conway County,0.277,4844.0,2655.0,422.0,7921.0,61.2,33.5,5.4
arkansas,Craighead County,0.34800000000000003,22798.0,10474.0,2132.0,35404.0,64.4,29.6,6.1
arkansas,Crawford County,0.5429999999999999,16655.0,4476.0,1272.0,22403.0,74.3,20.0,5.7
arkansas,Crittenden County,-0.08899999999999998,6953.0,8368.0,573.0,15894.0,43.7,52.6,3.5
arkansas,Cross County,0.376,4577.0,1995.0,291.0,6863.0,66.7,29.1,4.2
arkansas,Dallas County,0.12299999999999997,1507.0,1165.0,97.0,2769.0,54.4,42.1,3.5
arkansas,Desha County,-0.07399999999999998,1915.0,2227.0,110.0,4252.0,45.0,52.4,2.6
arkansas,Drew County,0.24300000000000005,3967.0,2364.0,259.0,6590.0,60.2,35.9,4.0
arkansas,Faulkner County,0.30999999999999994,29170.0,14525.0,3501.0,47196.0,61.8,30.8,7.5
arkansas,Franklin County,0.541,5034.0,1376.0,354.0,6764.0,74.4,20.3,5.2
arkansas,Fulton County,0.503,3470.0,1067.0,234.0,4771.0,72.7,22.4,5.0
arkansas,Garland County,0.33799999999999997,26053.0,12283.0,2398.0,40734.0,64.0,30.2,5.9
arkansas,Grant County,0.543,5160.0,1407.0,341.0,6908.0,74.7,20.4,5.0
arkansas,Greene County,0.525,10698.0,3056.0,806.0,14560.0,73.5,21.0,5.6
arkansas,Hempstead County,0.288,4391.0,2371.0,269.0,7031.0,62.5,33.7,3.8
arkansas,Hot Spring County,0.42200000000000004,8153.0,3137.0,619.0,11909.0,68.5,26.3,5.2
arkansas,Howard County,0.386,3155.0,1350.0,166.0,4671.0,67.5,28.9,3.6
arkansas,Independence County,0.518,9925.0,2878.0,795.0,13598.0,73.0,21.2,5.7
arkansas,Izard County,0.538,4042.0,1111.0,292.0,5445.0,74.2,20.4,5.4
arkansas,Jackson County,0.32599999999999996,3262.0,1583.0,306.0,5151.0,63.3,30.7,5.9
arkansas,Jefferson County,-0.25199999999999995,9231.0,15721.0,869.0,25821.0,35.7,60.9,3.3
arkansas,Johnson County,0.40199999999999997,6072.0,2421.0,593.0,9086.0,66.8,26.6,6.5
arkansas,Lafayette County,0.254,1750.0,1028.0,68.0,2846.0,61.5,36.1,2.4
arkansas,Lawrence County,0.493,4064.0,1263.0,358.0,5685.0,71.5,22.2,6.3
arkansas,Lee County,-0.16799999999999998,1229.0,1735.0,56.0,3020.0,40.7,57.5,1.8
arkansas,Lincoln County,0.315,2455.0,1252.0,119.0,3826.0,64.2,32.7,3.1
arkansas,Little River County,0.418,3604.0,1397.0,276.0,5277.0,68.3,26.5,5.3
arkansas,Logan County,0.509,5737.0,1712.0,460.0,7909.0,72.5,21.6,5.9
arkansas,Lonoke County,0.528,19902.0,5638.0,1467.0,27007.0,73.7,20.9,5.4
arkansas,Madison County,0.488,4917.0,1587.0,325.0,6829.0,72.0,23.2,4.7
arkansas,Marion County,0.546,5077.0,1377.0,324.0,6778.0,74.9,20.3,4.8
arkansas,Miller County,0.436,11293.0,4273.0,524.0,16090.0,70.2,26.6,3.2
arkansas,Mississippi County,0.10399999999999998,6988.0,5621.0,466.0,13075.0,53.4,43.0,3.5
arkansas,Monroe County,0.03699999999999996,1400.0,1298.0,80.0,2778.0,50.4,46.7,2.9
arkansas,Montgomery County,0.5289999999999999,2573.0,735.0,163.0,3471.0,74.1,21.2,4.6
arkansas,Nevada County,0.261,2001.0,1156.0,86.0,3243.0,61.7,35.6,2.7
arkansas,Newton County,0.58,2875.0,699.0,179.0,3753.0,76.6,18.6,4.7
arkansas,Ouachita County,0.10399999999999998,5347.0,4320.0,262.0,9929.0,53.9,43.5,2.6
arkansas,Perry County,0.45600000000000007,2979.0,1035.0,248.0,4262.0,69.9,24.3,5.8
arkansas,Phillips County,-0.26699999999999996,2443.0,4292.0,197.0,6932.0,35.2,61.9,2.8
arkansas,Pike County,0.6189999999999999,3150.0,684.0,146.0,3980.0,79.1,17.2,3.7
arkansas,Poinsett County,0.239,3149.0,1878.0,305.0,5332.0,59.1,35.2,5.7
arkansas,Polk County,0.657,6606.0,1210.0,399.0,8215.0,80.4,14.7,4.8
arkansas,Pope County,0.49999999999999994,15694.0,4818.0,1258.0,21770.0,72.1,22.1,5.7
arkansas,Prairie County,0.49199999999999994,2503.0,812.0,125.0,3440.0,72.8,23.6,3.6
arkansas,Pulaski County,-0.17600000000000002,61182.0,89377.0,8927.0,159486.0,38.4,56.0,5.6
arkansas,Randolph County,0.48400000000000004,4508.0,1425.0,445.0,6378.0,70.7,22.3,7.0
arkansas,Saint Francis County,-0.11299999999999998,3195.0,4031.0,204.0,7430.0,43.0,54.3,2.7
arkansas,Saline County,0.43,35852.0,13247.0,3479.0,52578.0,68.2,25.2,6.8
